variety,type,trait,domain,maturity_ds,maturity_ws,yield
IES Cn4,Hybrid,White,Luzon,96,92,5.36
IPB 911,Hybrid,Yellow,National,99,97,7.18
IPB 9204,Hybrid,Yellow,National,100,97,5.87
BS 9754,Hybrid,Yellow,National,99,95,6.1
FE 817,Hybrid,Yellow,National,97,97,5.88
FE 820,Hybrid,Yellow,National,98,94,5.86
LG 3B,OPV,Yellow,National,100,105,5.19
Cn 96-68 USM Var 12,OPV,White,Luzon,110.3,100.89,5.15
Cn 96-68 USM Var 12,OPV,White,Mindanao,110.3,100.89,5.15
Cn 96-69 Kristal,Hybrid,Yellow,Mindanao,102.48,106.71,6.01
Cn 96-70  BS 9881,Hybrid,Yellow,Luzon,102.5,99.62,6.12
Cn 96-70  BS 9881,Hybrid,Yellow,Mindanao,102.5,99.62,6.12
Cn 96-71 CW 22,Hybrid,Yellow,Luzon,103.11,98.5,6.43
Cn 96-71 CW 22,Hybrid,Yellow,Mindanao,103.11,98.5,6.43
Cn 96-72 CW 24,Hybrid,Yellow,National,103.62,102.86,6.19
Cn 96-73 CW 26,Hybrid,Yellow,Luzon,102,108.75,6.28
Cn 96-74 FE 8826,Hybrid,Yellow,Luzon,108.08,101,6.88
Cn 96-74 FE 8826,Hybrid,Yellow,Mindanao,108.08,101,6.88
C-818,Hybrid,Yellow,National,102.71,102.38,7.58
C-838,Hybrid,Yellow,National,103.14,102.37,7.55
C-909,Hybrid,Yellow,National,100.7,99.5,7.62
MARIANA I,Hybrid,Yellow,National,103,100,6.34
MARIANA III,Hybrid,Yellow,National,104,101,6.31
MARIANA,Hybrid,Yellow,National,104,101,6.28
C-939,Hybrid,Yellow,Luzon,103,101,7.28
C-939,Hybrid,Yellow,Mindanao,103,101,7.28
 FE 325,Hybrid,Yellow,National,104,101,5.95
MARIANA II,Hybrid,Yellow,National,102,100,7.29
BS 9889,Hybrid,Yellow,National,103,101,7.03
BS 9890,Hybrid,Yellow,Luzon,103,95,6.68
BS 9890,Hybrid,Yellow,Mindanao,103,95,6.68
